,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0,1,337,118,4,4.5,4.5,9.65,1,0.92
1,2,324,107,4,4.0,4.5,8.87,1,0.76
2,3,316,104,3,3.0,3.5,8.0,1,0.72
3,4,322,110,3,3.5,2.5,8.67,1,0.8
4,5,314,103,2,2.0,3.0,8.21,0,0.65
5,6,330,115,5,4.5,3.0,9.34,1,0.9
6,7,321,109,3,3.0,4.0,8.2,1,0.75
7,8,308,101,2,3.0,4.0,7.9,0,0.68
8,9,302,102,1,2.0,1.5,8.0,0,0.5
9,10,323,108,3,3.5,3.0,8.6,0,0.45
10,11,325,106,3,3.5,4.0,8.4,1,0.52
11,12,327,111,4,4.0,4.5,9.0,1,0.84
12,13,328,112,4,4.0,4.5,9.1,1,0.78
13,14,307,109,3,4.0,3.0,8.0,1,0.62
14,15,311,104,3,3.5,2.0,8.2,1,0.61
15,16,314,105,3,3.5,2.5,8.3,0,0.54
16,17,317,107,3,4.0,3.0,8.7,0,0.66
17,18,319,106,3,4.0,3.0,8.0,1,0.65
18,19,318,110,3,4.0,3.0,8.8,0,0.63
19,20,303,102,3,3.5,3.0,8.5,0,0.62
20,21,312,107,3,3.0,2.0,7.9,1,0.64
21,22,325,114,4,3.0,2.0,8.4,0,0.7
22,23,328,116,5,5.0,5.0,9.5,1,0.94
23,24,334,119,5,5.0,4.5,9.7,1,0.95
24,25,336,119,5,4.0,3.5,9.8,1,0.97
25,26,340,120,5,4.5,4.5,9.6,1,0.94
26,27,322,109,5,4.5,3.5,8.8,0,0.76
27,28,298,98,2,1.5,2.5,7.5,1,0.44
28,29,295,93,1,2.0,2.0,7.2,0,0.46
29,30,310,99,2,1.5,2.0,7.3,0,0.54
30,31,300,97,2,3.0,3.0,8.1,1,0.65
31,32,327,103,3,4.0,4.0,8.3,1,0.74
32,33,338,118,4,3.0,4.5,9.4,1,0.91
33,34,340,114,5,4.0,4.0,9.6,1,0.9
34,35,331,112,5,4.0,5.0,9.8,1,0.94
35,36,320,110,5,5.0,5.0,9.2,1,0.88
36,37,299,106,2,4.0,4.0,8.4,0,0.64
37,38,300,105,1,1.0,2.0,7.8,0,0.58
38,39,304,105,1,3.0,1.5,7.5,0,0.52
39,40,307,108,2,4.0,3.5,7.7,0,0.48
40,41,308,110,3,3.5,3.0,8.0,1,0.46
41,42,316,105,2,2.5,2.5,8.2,1,0.49
42,43,313,107,2,2.5,2.0,8.5,1,0.53
43,44,332,117,4,4.5,4.0,9.1,0,0.87
44,45,326,113,5,4.5,4.0,9.4,1,0.91
45,46,322,110,5,5.0,4.0,9.1,1,0.88
46,47,329,114,5,4.0,5.0,9.3,1,0.86
47,48,339,119,5,4.5,4.0,9.7,0,0.89
48,49,321,110,3,3.5,5.0,8.85,1,0.82
49,50,327,111,4,3.0,4.0,8.4,1,0.78
50,51,313,98,3,2.5,4.5,8.3,1,0.76
51,52,312,100,2,1.5,3.5,7.9,1,0.56
52,53,334,116,4,4.0,3.0,8.0,1,0.78
53,54,324,112,4,4.0,2.5,8.1,1,0.72
54,55,322,110,3,3.0,3.5,8.0,0,0.7
55,56,320,103,3,3.0,3.0,7.7,0,0.64
56,57,316,102,3,2.0,3.0,7.4,0,0.64
57,58,298,99,2,4.0,2.0,7.6,0,0.46
58,59,300,99,1,3.0,2.0,6.8,1,0.36
59,60,311,104,2,2.0,2.0,8.3,0,0.42
60,61,309,100,2,3.0,3.0,8.1,0,0.48
61,62,307,101,3,4.0,3.0,8.2,0,0.47
62,63,304,105,2,3.0,3.0,8.2,1,0.54
63,64,315,107,2,4.0,3.0,8.5,1,0.56
64,65,325,111,3,3.0,3.5,8.7,0,0.52
65,66,325,112,4,3.5,3.5,8.92,0,0.55
66,67,327,114,3,3.0,3.0,9.02,0,0.61
67,68,316,107,2,3.5,3.5,8.64,1,0.57
68,69,318,109,3,3.5,4.0,9.22,1,0.68
69,70,328,115,4,4.5,4.0,9.16,1,0.78
70,71,332,118,5,5.0,5.0,9.64,1,0.94
71,72,336,112,5,5.0,5.0,9.76,1,0.96
72,73,321,111,5,5.0,5.0,9.45,1,0.93
73,74,314,108,4,4.5,4.0,9.04,1,0.84
74,75,314,106,3,3.0,5.0,8.9,0,0.74
75,76,329,114,2,2.0,4.0,8.56,1,0.72
76,77,327,112,3,3.0,3.0,8.72,1,0.74
77,78,301,99,2,3.0,2.0,8.22,0,0.64
78,79,296,95,2,3.0,2.0,7.54,1,0.44
79,80,294,93,1,1.5,2.0,7.36,0,0.46
80,81,312,105,3,2.0,3.0,8.02,1,0.5
81,82,340,120,4,5.0,5.0,9.5,1,0.96
82,83,320,110,5,5.0,4.5,9.22,1,0.92
83,84,322,115,5,4.0,4.5,9.36,1,0.92
84,85,340,115,5,4.5,4.5,9.45,1,0.94
85,86,319,103,4,4.5,3.5,8.66,0,0.76
86,87,315,106,3,4.5,3.5,8.42,0,0.72
87,88,317,107,2,3.5,3.0,8.28,0,0.66
88,89,314,108,3,4.5,3.5,8.14,0,0.64
89,90,316,109,4,4.5,3.5,8.76,1,0.74
90,91,318,106,2,4.0,4.0,7.92,1,0.64
91,92,299,97,3,5.0,3.5,7.66,0,0.38
92,93,298,98,2,4.0,3.0,8.03,0,0.34
93,94,301,97,2,3.0,3.0,7.88,1,0.44
94,95,303,99,3,2.0,2.5,7.66,0,0.36
95,96,304,100,4,1.5,2.5,7.84,0,0.42
96,97,306,100,2,3.0,3.0,8.0,0,0.48
97,98,331,120,3,4.0,4.0,8.96,1,0.86
98,99,332,119,4,5.0,4.5,9.24,1,0.9
99,100,323,113,3,4.0,4.0,8.88,1,0.79
100,101,322,107,3,3.5,3.5,8.46,1,0.71
101,102,312,105,2,2.5,3.0,8.12,0,0.64
102,103,314,106,2,4.0,3.5,8.25,0,0.62
103,104,317,104,2,4.5,4.0,8.47,0,0.57
104,105,326,112,3,3.5,3.0,9.05,1,0.74
105,106,316,110,3,4.0,4.5,8.78,1,0.69
106,107,329,111,4,4.5,4.5,9.18,1,0.87
107,108,338,117,4,3.5,4.5,9.46,1,0.91
108,109,331,116,5,5.0,5.0,9.38,1,0.93
109,110,304,103,5,5.0,4.0,8.64,0,0.68
110,111,305,108,5,3.0,3.0,8.48,0,0.61
111,112,321,109,4,4.0,4.0,8.68,1,0.69
112,113,301,107,3,3.5,3.5,8.34,1,0.62
113,114,320,110,2,4.0,3.5,8.56,0,0.72
114,115,311,105,3,3.5,3.0,8.45,1,0.59
115,116,310,106,4,4.5,4.5,9.04,1,0.66
116,117,299,102,3,4.0,3.5,8.62,0,0.56
117,118,290,104,4,2.0,2.5,7.46,0,0.45
118,119,296,99,2,3.0,3.5,7.28,0,0.47
119,120,327,104,5,3.0,3.5,8.84,1,0.71
120,121,335,117,5,5.0,5.0,9.56,1,0.94
121,122,334,119,5,4.5,4.5,9.48,1,0.94
122,123,310,106,4,1.5,2.5,8.36,0,0.57
123,124,308,108,3,3.5,3.5,8.22,0,0.61
124,125,301,106,4,2.5,3.0,8.47,0,0.57
125,126,300,100,3,2.0,3.0,8.66,1,0.64
126,127,323,113,3,4.0,3.0,9.32,1,0.85
127,128,319,112,3,2.5,2.0,8.71,1,0.78
128,129,326,112,3,3.5,3.0,9.1,1,0.84
129,130,333,118,5,5.0,5.0,9.35,1,0.92
130,131,339,114,5,4.0,4.5,9.76,1,0.96
131,132,303,105,5,5.0,4.5,8.65,0,0.77
132,133,309,105,5,3.5,3.5,8.56,0,0.71
133,134,323,112,5,4.0,4.5,8.78,0,0.79
134,135,333,113,5,4.0,4.0,9.28,1,0.89
135,136,314,109,4,3.5,4.0,8.77,1,0.82
136,137,312,103,3,5.0,4.0,8.45,0,0.76
137,138,316,100,2,1.5,3.0,8.16,1,0.71
138,139,326,116,2,4.5,3.0,9.08,1,0.8
139,140,318,109,1,3.5,3.5,9.12,0,0.78
140,141,329,110,2,4.0,3.0,9.15,1,0.84
141,142,332,118,2,4.5,3.5,9.36,1,0.9
142,143,331,115,5,4.0,3.5,9.44,1,0.92
143,144,340,120,4,4.5,4.0,9.92,1,0.97
144,145,325,112,2,3.0,3.5,8.96,1,0.8
145,146,320,113,2,2.0,2.5,8.64,1,0.81
146,147,315,105,3,2.0,2.5,8.48,0,0.75
147,148,326,114,3,3.0,3.0,9.11,1,0.83
148,149,339,116,4,4.0,3.5,9.8,1,0.96
149,150,311,106,2,3.5,3.0,8.26,1,0.79
150,151,334,114,4,4.0,4.0,9.43,1,0.93
151,152,332,116,5,5.0,5.0,9.28,1,0.94
