GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
3/12/2022,22101005,1610612748,1610612750,2021,1610612748,104,0.398,0.76,0.333,23,53,1610612750,113,0.422,0.875,0.357,21,46,0
3/12/2022,22101006,1610612741,1610612739,2021,1610612741,101,0.443,0.933,0.429,20,46,1610612739,91,0.419,0.824,0.208,19,40,1
3/12/2022,22101007,1610612759,1610612754,2021,1610612759,108,0.412,0.813,0.324,28,52,1610612754,119,0.489,1,0.389,23,47,0
3/12/2022,22101008,1610612744,1610612749,2021,1610612744,122,0.484,0.933,0.4,33,55,1610612749,109,0.413,0.696,0.386,27,39,1
3/12/2022,22101009,1610612743,1610612761,2021,1610612743,115,0.551,0.75,0.407,32,39,1610612761,127,0.471,0.76,0.387,28,50,0
3/12/2022,22101010,1610612762,1610612758,2021,1610612762,134,0.558,0.71,0.39,21,44,1610612758,125,0.5,0.857,0.394,27,33,1
3/12/2022,22101011,1610612757,1610612764,2021,1610612757,127,0.516,0.909,0.367,21,43,1610612764,118,0.47,0.963,0.412,26,35,1
3/11/2022,22100995,1610612753,1610612750,2021,1610612753,118,0.465,0.88,0.4,31,49,1610612750,110,0.456,1,0.333,24,37,1
3/11/2022,22100996,1610612737,1610612746,2021,1610612737,112,0.478,0.895,0.29,28,47,1610612746,106,0.488,0.824,0.375,22,36,1
3/11/2022,22100997,1610612738,1610612765,2021,1610612738,114,0.467,0.8,0.188,23,47,1610612765,103,0.422,0.958,0.294,21,42,1
3/11/2022,22100998,1610612748,1610612739,2021,1610612748,117,0.477,0.889,0.314,28,42,1610612739,105,0.443,0.931,0.32,25,40,1
3/11/2022,22100999,1610612745,1610612742,2021,1610612745,100,0.477,0.632,0.2,29,39,1610612742,113,0.455,0.786,0.306,20,47,0
3/11/2022,22101000,1610612763,1610612752,2021,1610612763,118,0.447,0.586,0.346,23,53,1610612752,114,0.422,0.757,0.4,23,54,1
3/11/2022,22101001,1610612740,1610612766,2021,1610612740,120,0.5,0.76,0.385,31,40,1610612766,142,0.598,0.8,0.468,41,38,0
3/11/2022,22101002,1610612759,1610612762,2021,1610612759,104,0.4,0.698,0.207,15,54,1610612762,102,0.402,0.652,0.325,20,57,1
3/11/2022,22101003,1610612756,1610612761,2021,1610612756,112,0.5,0.765,0.306,27,40,1610612761,117,0.447,0.905,0.438,19,48,0
3/11/2022,22101004,1610612747,1610612764,2021,1610612747,122,0.527,0.706,0.452,25,37,1610612764,109,0.459,0.667,0.333,21,47,1
3/10/2022,22100993,1610612755,1610612751,2021,1610612755,100,0.323,0.867,0.389,19,50,1610612751,129,0.56,0.529,0.45,29,45,0
3/10/2022,22100994,1610612743,1610612744,2021,1610612743,102,0.417,0.781,0.226,19,49,1610612744,113,0.477,0.75,0.333,26,36,0
3/9/2022,22100981,1610612766,1610612738,2021,1610612766,101,0.424,0.75,0.242,18,46,1610612738,115,0.495,0.786,0.324,30,47,0
3/9/2022,22100982,1610612765,1610612741,2021,1610612765,108,0.512,0.765,0.355,25,32,1610612741,114,0.526,0.886,0.2,19,33,0
3/9/2022,22100983,1610612748,1610612756,2021,1610612748,90,0.398,0.769,0.303,27,38,1610612756,111,0.455,1,0.297,26,55,0
3/9/2022,22100984,1610612749,1610612737,2021,1610612749,124,0.5,0.783,0.343,24,50,1610612737,115,0.5,0.818,0.289,26,44,1
3/9/2022,22100985,1610612745,1610612747,2021,1610612745,139,0.51,0.947,0.425,25,50,1610612747,130,0.465,0.692,0.383,25,48,1
3/9/2022,22100986,1610612750,1610612760,2021,1610612750,132,0.523,0.769,0.423,34,48,1610612760,102,0.414,0.667,0.326,26,42,1
3/9/2022,22100987,1610612740,1610612753,2021,1610612740,102,0.441,0.722,0.226,23,41,1610612753,108,0.474,0.846,0.378,25,45,0
3/9/2022,22100988,1610612742,1610612752,2021,1610612742,77,0.314,0.68,0.136,11,37,1610612752,107,0.429,0.788,0.265,20,55,0
3/9/2022,22100989,1610612759,1610612761,2021,1610612759,104,0.452,0.95,0.281,24,36,1610612761,119,0.482,0.929,0.367,12,47,0
3/9/2022,22100990,1610612762,1610612757,2021,1610612762,123,0.519,0.815,0.37,31,50,1610612757,85,0.326,0.818,0.25,19,36,1
3/9/2022,22100991,1610612758,1610612743,2021,1610612758,100,0.447,0.667,0.353,24,38,1610612743,106,0.488,0.895,0.257,26,51,0
3/9/2022,22100992,1610612746,1610612764,2021,1610612746,115,0.5,1,0.5,21,41,1610612764,109,0.471,0.85,0.37,26,41,1
3/8/2022,22100975,1610612766,1610612751,2021,1610612766,121,0.489,0.818,0.317,26,41,1610612751,132,0.561,0.759,0.514,33,38,0
3/8/2022,22100976,1610612754,1610612739,2021,1610612754,124,0.538,0.667,0.5,35,38,1610612739,127,0.5,0.889,0.281,25,40,0
3/8/2022,22100977,1610612753,1610612756,2021,1610612753,99,0.38,0.88,0.179,17,53,1610612756,102,0.38,0.826,0.351,24,52,0
3/8/2022,22100978,1610612763,1610612740,2021,1610612763,132,0.475,0.833,0.364,30,52,1610612740,111,0.466,0.667,0.324,24,45,1
3/8/2022,22100979,1610612760,1610612749,2021,1610612760,115,0.5,0.714,0.41,26,36,1610612749,142,0.53,0.8,0.5,35,53,0
3/8/2022,22100980,1610612744,1610612746,2021,1610612744,112,0.478,0.846,0.382,33,51,1610612746,97,0.355,0.826,0.308,23,47,1
3/7/2022,22100968,1610612765,1610612737,2021,1610612765,113,0.462,0.652,0.364,27,47,1610612737,110,0.452,0.682,0.289,28,48,1
3/7/2022,22100969,1610612755,1610612741,2021,1610612755,121,0.488,0.794,0.4,29,38,1610612741,106,0.448,0.769,0.333,22,48,1
